zcta,state_fips,puma_geoid,puma_code,puma_name,zcta_name,zcta_land_area,puma_land_area,overlap_land_area,overlap_water_area,zcta_to_puma_weight,puma_to_zcta_weight,overlap_rank_for_zcta,is_primary_puma_for_zcta,source_year,source_file
73960,48,4800100,00100,Panhandle Regional Planning Commission--Outside Potter & Randall Counties PUMA,ZCTA5 73960,1570433,61986435349,1570433,0,1.0,2.5e-05,1,1,2020,tab20_puma520_zcta520_natl.txt
75001,48,4802310,02310,"Dallas (Far North)--Carrollton (Southeast) Cities & Addison Town, North of I-635 PUMA",ZCTA5 75001,9718688,61960116,9718688,8702,1.0,0.156854,1,1,2020,tab20_puma520_zcta520_natl.txt
75002,48,4801904,01904,"Collin County (South Central)--Allen, Murphy, Plano (East) & Parker Cities PUMA",ZCTA5 75002,97331398,134295530,50631969,145572,0.520202,0.377019,1,1,2020,tab20_puma520_zcta520_natl.txt
75002,48,4801907,01907,Collin County (East) PUMA,ZCTA5 75002,97331398,1287411103,46699429,6254979,0.479798,0.036274,2,0,2020,tab20_puma520_zcta520_natl.txt
75006,48,4802322,02322,"Dallas County (Northwest)--Irving (North), Coppell & Carrollton (Southwest) Cities PUMA",ZCTA5 75006,44217547,117102039,25922291,653582,0.586244,0.221365,1,1,2020,tab20_puma520_zcta520_natl.txt
75006,48,4802310,02310,"Dallas (Far North)--Carrollton (Southeast) Cities & Addison Town, North of I-635 PUMA",ZCTA5 75006,44217547,61960116,18295256,204265,0.413756,0.295275,2,0,2020,tab20_puma520_zcta520_natl.txt
75007,48,4802001,02001,Denton County (Far Southeast)--Carrollton (North) & Dallas (North) Cities PUMA,ZCTA5 75007,30837493,74151190,27869983,314310,0.903769,0.375853,1,1,2020,tab20_puma520_zcta520_natl.txt
75007,48,4802322,02322,"Dallas County (Northwest)--Irving (North), Coppell & Carrollton (Southwest) Cities PUMA",ZCTA5 75007,30837493,117102039,1950792,0,0.06326,0.016659,2,0,2020,tab20_puma520_zcta520_natl.txt
75007,48,4802310,02310,"Dallas (Far North)--Carrollton (Southeast) Cities & Addison Town, North of I-635 PUMA",ZCTA5 75007,30837493,61960116,685742,0,0.022237,0.011067,3,0,2020,tab20_puma520_zcta520_natl.txt
75007,48,4801901,01901,"Collin County (Southwest)--Dallas (North), Plano (South) & Richardson (North) Cities PUMA",ZCTA5 75007,30837493,85849521,330976,0,0.010733,0.003855,4,0,2020,tab20_puma520_zcta520_natl.txt
75009,48,4801908,01908,Collin County (Northwest)--Celina City & Prosper Town PUMA,ZCTA5 75009,255671157,330653982,172986344,2251639,0.676597,0.523164,1,1,2020,tab20_puma520_zcta520_natl.txt
75009,48,4801907,01907,Collin County (East) PUMA,ZCTA5 75009,255671157,1287411103,64998013,1177384,0.254225,0.050487,2,0,2020,tab20_puma520_zcta520_natl.txt
