zcta,state_fips,puma_geoid,puma_code,puma_name,zcta_name,zcta_land_area,puma_land_area,overlap_land_area,overlap_water_area,zcta_to_puma_weight,puma_to_zcta_weight,overlap_rank_for_zcta,is_primary_puma_for_zcta,source_year,source_file,GEOID_PUMA5_20,NAMELSAD_PUMA5_20,AREALAND_PUMA5_20,AREAWATER_PUMA5_20,GEOID_ZCTA5_20,NAMELSAD_ZCTA5_20,AREALAND_ZCTA5_20,AREAWATER_ZCTA5_20,AREALAND_PART,AREAWATER_PART
73960,48,4800100,00100,Panhandle Regional Planning Commission--Outside Potter & Randall Counties PUMA,ZCTA5 73960,1570433,61986435349,1570433,0,1.0,2.5e-05,1,1,2020,tab20_puma520_zcta520_natl.txt,4800100,Panhandle Regional Planning Commission--Outside Potter & Randall Counties PUMA,61986435349,283568952,73960,ZCTA5 73960,1570433,0,1570433,0
75001,48,4802310,02310,"Dallas (Far North)--Carrollton (Southeast) Cities & Addison Town, North of I-635 PUMA",ZCTA5 75001,9718688,61960116,9718688,8702,1.0,0.156854,1,1,2020,tab20_puma520_zcta520_natl.txt,4802310,"Dallas (Far North)--Carrollton (Southeast) Cities & Addison Town, North of I-635 PUMA",61960116,383981,75001,ZCTA5 75001,9718688,8702,9718688,8702
75002,48,4801904,01904,"Collin County (South Central)--Allen, Murphy, Plano (East) & Parker Cities PUMA",ZCTA5 75002,97331398,134295530,50631969,145572,0.520202,0.377019,1,1,2020,tab20_puma520_zcta520_natl.txt,4801904,"Collin County (South Central)--Allen, Murphy, Plano (East) & Parker Cities PUMA",134295530,1104736,75002,ZCTA5 75002,97331398,6400551,50631969,145572
75002,48,4801907,01907,Collin County (East) PUMA,ZCTA5 75002,97331398,1287411103,46699429,6254979,0.479798,0.036274,2,0,2020,tab20_puma520_zcta520_natl.txt,4801907,Collin County (East) PUMA,1287411103,107844397,75002,ZCTA5 75002,97331398,6400551,46699429,6254979
75006,48,4802322,02322,"Dallas County (Northwest)--Irving (North), Coppell & Carrollton (Southwest) Cities PUMA",ZCTA5 75006,44217547,117102039,25922291,653582,0.586244,0.221365,1,1,2020,tab20_puma520_zcta520_natl.txt,4802322,"Dallas County (Northwest)--Irving (North), Coppell & Carrollton (Southwest) Cities PUMA",117102039,4367792,75006,ZCTA5 75006,44217547,857847,25922291,653582
75006,48,4802310,02310,"Dallas (Far North)--Carrollton (Southeast) Cities & Addison Town, North of I-635 PUMA",ZCTA5 75006,44217547,61960116,18295256,204265,0.413756,0.295275,2,0,2020,tab20_puma520_zcta520_natl.txt,4802310,"Dallas (Far North)--Carrollton (Southeast) Cities & Addison Town, North of I-635 PUMA",61960116,383981,75006,ZCTA5 75006,44217547,857847,18295256,204265
75007,48,4802001,02001,Denton County (Far Southeast)--Carrollton (North) & Dallas (North) Cities PUMA,ZCTA5 75007,30837493,74151190,27869983,314310,0.903769,0.375853,1,1,2020,tab20_puma520_zcta520_natl.txt,4802001,Denton County (Far Southeast)--Carrollton (North) & Dallas (North) Cities PUMA,74151190,588101,75007,ZCTA5 75007,30837493,314310,27869983,314310
75007,48,4802322,02322,"Dallas County (Northwest)--Irving (North), Coppell & Carrollton (Southwest) Cities PUMA",ZCTA5 75007,30837493,117102039,1950792,0,0.06326,0.016659,2,0,2020,tab20_puma520_zcta520_natl.txt,4802322,"Dallas County (Northwest)--Irving (North), Coppell & Carrollton (Southwest) Cities PUMA",117102039,4367792,75007,ZCTA5 75007,30837493,314310,1950792,0
75007,48,4802310,02310,"Dallas (Far North)--Carrollton (Southeast) Cities & Addison Town, North of I-635 PUMA",ZCTA5 75007,30837493,61960116,685742,0,0.022237,0.011067,3,0,2020,tab20_puma520_zcta520_natl.txt,4802310,"Dallas (Far North)--Carrollton (Southeast) Cities & Addison Town, North of I-635 PUMA",61960116,383981,75007,ZCTA5 75007,30837493,314310,685742,0
75007,48,4801901,01901,"Collin County (Southwest)--Dallas (North), Plano (South) & Richardson (North) Cities PUMA",ZCTA5 75007,30837493,85849521,330976,0,0.010733,0.003855,4,0,2020,tab20_puma520_zcta520_natl.txt,4801901,"Collin County (Southwest)--Dallas (North), Plano (South) & Richardson (North) Cities PUMA",85849521,325151,75007,ZCTA5 75007,30837493,314310,330976,0
75009,48,4801908,01908,Collin County (Northwest)--Celina City & Prosper Town PUMA,ZCTA5 75009,255671157,330653982,172986344,2251639,0.676597,0.523164,1,1,2020,tab20_puma520_zcta520_natl.txt,4801908,Collin County (Northwest)--Celina City & Prosper Town PUMA,330653982,4120983,75009,ZCTA5 75009,255671157,3565552,172986344,2251639
75009,48,4801907,01907,Collin County (East) PUMA,ZCTA5 75009,255671157,1287411103,64998013,1177384,0.254225,0.050487,2,0,2020,tab20_puma520_zcta520_natl.txt,4801907,Collin County (East) PUMA,1287411103,107844397,75009,ZCTA5 75009,255671157,3565552,64998013,1177384
75009,48,4802006,02006,Denton County (North & West)--Denton City (Outer) PUMA,ZCTA5 75009,255671157,1536218064,17686800,136529,0.069178,0.011513,3,0,2020,tab20_puma520_zcta520_natl.txt,4802006,Denton County (North & West)--Denton City (Outer) PUMA,1536218064,129409058,75009,ZCTA5 75009,255671157,3565552,17686800,136529
75010,48,4802001,02001,Denton County (Far Southeast)--Carrollton (North) & Dallas (North) Cities PUMA,ZCTA5 75010,17643760,74151190,14151799,84842,0.802085,0.190851,1,1,2020,tab20_puma520_zcta520_natl.txt,4802001,Denton County (Far Southeast)--Carrollton (North) & Dallas (North) Cities PUMA,74151190,588101,75010,ZCTA5 75010,17643760,131747,14151799,84842
75010,48,4802002,02002,Denton County (Southeast)--Lewisville City PUMA,ZCTA5 75010,17643760,98973319,3491961,46905,0.197915,0.035282,2,0,2020,tab20_puma520_zcta520_natl.txt,4802002,Denton County (Southeast)--Lewisville City PUMA,98973319,11231876,75010,ZCTA5 75010,17643760,131747,3491961,46905
75013,48,4801904,01904,"Collin County (South Central)--Allen, Murphy, Plano (East) & Parker Cities PUMA",ZCTA5 75013,38962173,134295530,38962173,159239,1.0,0.290123,1,1,2020,tab20_puma520_zcta520_natl.txt,4801904,"Collin County (South Central)--Allen, Murphy, Plano (East) & Parker Cities PUMA",134295530,1104736,75013,ZCTA5 75013,38962173,159239,38962173,159239
75019,48,4802322,02322,"Dallas County (Northwest)--Irving (North), Coppell & Carrollton (Southwest) Cities PUMA",ZCTA5 75019,44512916,117102039,43638414,2605834,0.980354,0.372653,1,1,2020,tab20_puma520_zcta520_natl.txt,4802322,"Dallas County (Northwest)--Irving (North), Coppell & Carrollton (Southwest) Cities PUMA",117102039,4367792,75019,ZCTA5 75019,44512916,2605834,43638414,2605834
75019,48,4802002,02002,Denton County (Southeast)--Lewisville City PUMA,ZCTA5 75019,44512916,98973319,874502,0,0.019646,0.008836,2,0,2020,tab20_puma520_zcta520_natl.txt,4802002,Denton County (Southeast)--Lewisville City PUMA,98973319,11231876,75019,ZCTA5 75019,44512916,2605834,874502,0
