NAME,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,zip code tabulation area
ZCTA5 00601,12511,489,0,0,104,107,176,363,156,390,170,386,531,375,247,163,3444,512,171,863,1588,1788,470,0,18,00601
ZCTA5 00602,28625,871,0,0,96,224,487,557,547,1270,648,958,1021,636,905,208,6087,909,193,1950,4390,5252,1222,64,130,00602
ZCTA5 00603,36389,616,0,1,158,211,357,631,689,983,748,617,1155,566,627,476,10400,929,340,3648,2906,6704,2621,505,501,00603
ZCTA5 00606,3982,148,0,0,73,34,119,93,113,292,153,228,220,19,107,77,1125,81,17,299,258,367,159,0,0,00606
ZCTA5 00610,19399,406,0,0,101,204,352,433,272,273,553,497,810,273,488,185,5019,520,142,1397,3064,3224,801,321,64,00610
ZCTA5 00611,1125,18,0,0,0,0,17,34,42,51,42,56,83,0,19,0,229,48,40,54,97,203,76,0,16,00611
ZCTA5 00612,47001,1152,0,0,159,162,422,545,265,909,649,740,1298,370,659,430,11901,915,974,5316,6063,10520,2409,488,655,00612
ZCTA5 00616,7524,323,0,0,25,75,62,12,50,100,62,204,222,59,204,73,2571,118,116,700,760,1561,115,28,84,00616
ZCTA5 00617,16752,272,0,0,150,121,176,202,187,389,398,260,537,257,384,73,4722,414,301,1483,2228,3321,686,0,191,00617
ZCTA5 00622,6042,87,0,0,25,60,106,118,136,251,79,92,290,108,47,43,1261,148,48,840,725,1126,344,9,99,00622
ZCTA5 00623,29792,458,0,11,227,155,233,431,603,933,652,636,1065,377,899,197,6064,609,427,3831,3051,6495,1454,300,684,00623
ZCTA5 00624,15157,479,0,0,142,58,279,143,328,451,279,317,733,307,305,14,4208,250,175,906,2130,3071,458,37,87,00624
ZCTA5 00627,24834,698,29,0,123,238,363,438,505,1009,325,849,1071,234,433,183,6056,387,223,1687,4317,4153,1228,60,225,00627
ZCTA5 00631,1074,53,0,0,9,0,28,46,32,43,0,9,11,19,13,9,214,30,42,59,112,306,39,0,0,00631
ZCTA5 00636,579,17,0,0,29,0,0,0,0,41,0,0,31,0,46,0,204,0,0,0,32,143,36,0,0,00636
ZCTA5 00637,17205,348,0,0,68,116,255,287,125,662,193,95,270,73,462,70,5952,482,254,1138,1477,4091,598,89,100,00637
ZCTA5 00638,13128,382,0,0,73,271,136,324,222,472,235,472,558,378,372,27,3419,140,308,1703,1443,1734,388,24,47,00638
ZCTA5 00641,17827,342,0,0,180,85,126,243,181,368,383,486,660,369,385,85,4268,653,390,2463,2360,3010,604,95,91,00641
ZCTA5 00646,26148,305,0,0,75,95,210,269,67,561,206,409,572,263,482,149,5623,325,297,2887,2712,7334,2215,590,502,00646
ZCTA5 00647,3191,52,0,0,6,10,52,22,19,60,78,52,174,91,90,33,1254,26,30,335,313,389,101,4,0,00647
ZCTA5 00650,9471,349,0,0,76,112,145,187,95,332,131,178,260,81,125,66,2574,293,47,1193,1109,1593,438,87,0,00650
ZCTA5 00652,3079,7,0,0,0,0,16,0,0,76,67,152,69,62,96,0,861,20,19,289,307,837,166,0,35,00652
ZCTA5 00653,6442,33,0,0,45,47,77,83,73,140,77,360,479,164,189,104,2309,130,46,408,654,729,294,0,1,00653
ZCTA5 00656,12985,328,7,0,69,48,63,61,169,270,237,269,441,194,339,130,3328,350,149,959,2443,2484,524,68,55,00656
ZCTA5 00659,28702,373,9,0,88,363,432,642,467,498,640,602,1304,478,385,195,7159,280,81,1761,4133,6173,2105,157,377,00659
ZCTA5 00660,12035,251,0,0,27,80,159,70,129,409,162,237,276,104,214,75,3085,481,163,1269,1191,2897,548,54,154,00660
ZCTA5 00662,31445,673,0,1,35,111,433,168,494,821,781,847,1119,603,839,278,8720,966,401,2657,3996,5818,1377,223,84,00662
ZCTA5 00664,10794,475,0,0,134,84,88,137,93,255,34,122,198,75,68,54,3149,570,130,1815,1051,1747,467,33,15,00664
