NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,zip code tabulation area
ZCTA5 00601,5768,1427,788,757,749,493,298,367,230,178,216,100,76,29,42,0,18,00601
ZCTA5 00602,12954,2843,1591,1704,1131,1204,766,552,620,485,607,369,615,115,59,203,90,00602
ZCTA5 00603,20131,5382,2309,2084,1518,1086,966,910,812,592,887,1164,1005,605,196,435,180,00603
ZCTA5 00606,1860,428,282,172,227,156,167,56,47,100,57,55,108,0,0,5,0,00606
ZCTA5 00610,9604,1604,1145,940,1255,739,643,709,394,359,407,469,525,167,0,124,124,00610
ZCTA5 00611,679,138,166,25,113,0,48,20,16,32,0,76,25,0,0,0,20,00611
ZCTA5 00612,24426,5788,2386,1807,2441,1739,1447,1354,1085,749,1208,1748,1049,860,357,251,157,00612
ZCTA5 00616,3580,937,427,251,360,248,134,191,184,159,266,147,153,85,18,20,0,00616
ZCTA5 00617,9063,1421,1400,1047,662,592,460,384,440,335,544,873,574,180,8,96,47,00617
ZCTA5 00622,3256,487,536,216,337,230,173,244,95,126,233,196,233,60,0,14,76,00622
ZCTA5 00623,15881,2782,1861,1490,1400,1232,941,963,605,683,960,1193,786,304,282,168,231,00623
ZCTA5 00624,7456,1492,1073,744,871,610,440,398,346,190,287,352,469,130,17,26,11,00624
ZCTA5 00627,12431,2256,1034,1330,1097,971,804,860,689,531,693,735,733,341,146,125,86,00627
ZCTA5 00631,450,95,79,64,35,15,65,38,18,0,20,0,21,0,0,0,0,00631
ZCTA5 00636,304,124,17,32,0,59,0,36,0,0,0,36,0,0,0,0,0,00636
ZCTA5 00637,8236,1401,1305,1079,845,814,555,403,248,152,437,487,275,114,42,34,45,00637
ZCTA5 00638,6028,1171,789,723,636,554,384,319,375,297,312,184,231,53,0,0,0,00638
ZCTA5 00641,9594,2391,1093,1019,1148,793,523,454,433,258,446,399,366,112,15,92,52,00641
ZCTA5 00646,12838,2263,679,1155,684,718,790,587,424,413,743,961,937,643,311,534,996,00646
ZCTA5 00647,1881,397,346,196,241,160,177,96,86,54,62,16,9,21,14,0,6,00647
ZCTA5 00650,5517,1367,504,627,809,195,537,179,313,269,224,288,131,55,0,19,0,00650
ZCTA5 00652,1612,127,97,149,121,267,30,125,78,106,97,93,187,135,0,0,0,00652
ZCTA5 00653,3910,1162,575,668,291,224,232,106,133,134,99,150,79,28,12,17,0,00653
ZCTA5 00656,6461,1354,847,601,519,476,538,441,253,380,375,250,161,168,65,11,22,00656
