zcta,zcta_name,state_fips,total_households,income_low_pct,income_medium_pct,income_high_pct,income_very_high_pct,owner_pct,renter_pct,married_household_pct,partial_high_school_pct,high_school_pct,partial_college_pct,bachelors_pct,graduate_degree_pct,age_18_24_pct,age_25_34_pct,age_35_44_pct,age_45_64_pct,age_65_plus_pct,source_year,source_dataset
73960,ZCTA5 73960,48,5,0.4,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.6,0.4,2024,acs/acs5
75001,ZCTA5 75001,48,10579,0.23679,0.45061,0.179412,0.133188,0.16287,0.83713,0.200397,0.047854,0.095273,0.223223,0.396776,0.236875,0.110228,0.35556,0.188538,0.238095,0.107579,2024,acs/acs5
75002,ZCTA5 75002,48,23656,0.142205,0.242053,0.165962,0.44978,0.78441,0.21559,0.688536,0.056034,0.142866,0.276636,0.327434,0.197031,0.126074,0.131135,0.177717,0.401281,0.163793,2024,acs/acs5
75006,ZCTA5 75006,48,18774,0.248535,0.357569,0.208533,0.185363,0.515181,0.484819,0.471769,0.182906,0.210716,0.256585,0.238975,0.110818,0.119708,0.20234,0.181081,0.310349,0.186521,2024,acs/acs5
75007,ZCTA5 75007,48,20788,0.196123,0.235424,0.217481,0.350972,0.673562,0.326438,0.562055,0.095627,0.176786,0.288116,0.276265,0.163206,0.095334,0.16813,0.206214,0.350845,0.179477,2024,acs/acs5
75009,ZCTA5 75009,48,10605,0.140311,0.11834,0.158699,0.58265,0.920132,0.079868,0.818482,0.034154,0.101917,0.230266,0.441184,0.192479,0.081243,0.171041,0.277029,0.280659,0.190027,2024,acs/acs5
75010,ZCTA5 75010,48,13516,0.166025,0.284034,0.234093,0.315848,0.516721,0.483279,0.505697,0.0497,0.105114,0.244183,0.378895,0.222108,0.082142,0.221371,0.228955,0.340112,0.12742,2024,acs/acs5
75013,ZCTA5 75013,48,18064,0.144708,0.181577,0.185839,0.487876,0.636238,0.363762,0.641331,0.034023,0.086926,0.212786,0.366347,0.299918,0.090262,0.165195,0.212574,0.387132,0.144837,2024,acs/acs5
75019,ZCTA5 75019,48,16954,0.113896,0.204495,0.204318,0.477291,0.633243,0.366757,0.63283,0.024266,0.097655,0.182653,0.384916,0.31051,0.081725,0.147942,0.203981,0.40471,0.161643,2024,acs/acs5
75020,ZCTA5 75020,48,10085,0.346158,0.358156,0.158354,0.137333,0.587407,0.412593,0.406346,0.103216,0.316319,0.384217,0.128588,0.067659,0.100648,0.129573,0.160587,0.329584,0.279608,2024,acs/acs5
75021,ZCTA5 75021,48,3379,0.313702,0.288843,0.233797,0.163658,0.831903,0.168097,0.586564,0.088281,0.379516,0.357681,0.143418,0.031103,0.089791,0.148985,0.153274,0.374321,0.233629,2024,acs/acs5
