zcta,zcta_name,state_fips,total_households,income_low_pct,income_medium_pct,income_high_pct,income_very_high_pct,owner_pct,renter_pct,married_household_pct,partial_high_school_pct,high_school_pct,partial_college_pct,bachelors_pct,graduate_degree_pct,age_18_24_pct,age_25_34_pct,age_35_44_pct,age_45_64_pct,age_65_plus_pct,source_year,source_dataset,income_total,income_low_count,income_medium_count,income_high_count,income_very_high_count,tenure_total,owner_count,renter_count,household_type_total,married_household_count,education_total,partial_high_school_count,high_school_count,partial_college_count,bachelors_count,graduate_degree_count,age_18_plus_count,age_18_24_count,age_25_34_count,age_35_44_count,age_45_64_count,age_65_plus_count,income_low_pct_was_clipped,income_medium_pct_was_clipped,income_high_pct_was_clipped,income_very_high_pct_was_clipped,owner_pct_was_clipped,renter_pct_was_clipped,married_household_pct_was_clipped,partial_high_school_pct_was_clipped,high_school_pct_was_clipped,partial_college_pct_was_clipped,bachelors_pct_was_clipped,graduate_degree_pct_was_clipped,age_18_24_pct_was_clipped,age_25_34_pct_was_clipped,age_35_44_pct_was_clipped,age_45_64_pct_was_clipped,age_65_plus_pct_was_clipped,any_pct_was_clipped,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B11001_001E,B11001_002E,B11001_003E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B25003_001E,B25003_002E,B25003_003E
73960,ZCTA5 73960,48,5,0.4,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.6,0.4,2024,acs/acs5,5,2,3,0,0,5,5,0,5,0,5,0,2,0,3,0,5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,5,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,5,5,0
75001,ZCTA5 75001,48,10579,0.23678986671708102,0.45060969845921167,0.1794120427261556,0.13318839209755176,0.16286983646847528,0.8371301635315247,0.20039701295018433,0.04785418633359959,0.09527267446082346,0.22322271439982572,0.3967758332728197,0.23687459153293153,0.11022808037733411,0.3555598630225496,0.1885378303288751,0.23809523809523808,0.1075789881760031,2024,acs/acs5,10579,2505,4767,1898,1409,10579,1723,8856,10579,2120,13771,659,1312,3074,5464,3262,15477,1706,5503,2918,3685,1665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,7,127,836,1073,1645,920,599,499,532,257,68,292,250,130,116,81,20,37,55,162,21,424,1870,915,811,588,567,459,417,260,334,266,201,325,178,40,21,10579,3148,2120,13771,147,0,0,0,0,0,0,0,66,0,114,191,41,0,100,1203,109,658,1680,736,5464,2532,327,403,10579,436,93,369,116,296,118,335,287,455,906,2228,1633,1147,751,525,884,10579,1723,8856
75002,ZCTA5 75002,48,23656,0.14220493743659113,0.24205275617179575,0.16596212377409536,0.44978018261751773,0.7844098748731823,0.21559012512681772,0.6885356780520798,0.056033509229410916,0.14286594254974025,0.2766359361846293,0.3274336283185841,0.19703098371763547,0.1260743957365106,0.13113459778571301,0.1777171670046116,0.4012812000933087,0.16379263937985608,2024,acs/acs5,23656,3364,5726,3926,10640,23656,18556,5100,23656,16288,48703,2729,6958,13473,15947,9596,55729,7026,7308,9904,22363,9128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693,386,617,1344,1380,2313,1894,3009,3178,3286,2514,1458,1032,832,902,1314,622,199,291,825,350,390,1421,1813,1802,2359,2642,3442,2719,2968,819,947,700,1030,1384,939,484,431,23656,19374,16288,48703,772,0,0,0,0,11,25,40,222,0,131,142,395,348,643,6370,588,2502,6842,4129,15947,7551,1268,777,23656,587,225,206,332,356,320,266,622,450,903,2260,2563,2054,1872,3779,6861,23656,18556,5100
75006,ZCTA5 75006,48,18774,0.24853520826675188,0.3575689783743475,0.20853307766059445,0.18536273569830616,0.515180568871844,0.48481943112815595,0.4717694684137637,0.18290634187316254,0.2107157856842863,0.25658486830263394,0.23897522049559008,0.11081778364432711,0.11970845327065782,0.20233976813584387,0.18108115245464387,0.31034938072728235,0.18652124541157208,2024,acs/acs5,18774,4666,6713,3915,3480,18774,9672,9102,18774,8857,33334,6097,7024,8553,7966,3694,37867,4533,7662,6857,11752,7063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883,142,262,1453,2335,1770,1586,1744,1574,1520,1757,430,623,576,730,795,653,235,236,504,201,369,719,1722,1835,2047,1480,1603,1416,1389,522,918,508,719,824,926,479,382,18774,11754,8857,33334,1554,0,40,0,68,252,135,72,1254,120,189,501,460,353,1099,6136,888,2214,4262,2077,7966,2843,571,280,18774,687,301,220,522,514,445,637,532,808,1270,2494,2949,2131,1784,1352,2128,18774,9672,9102
75007,ZCTA5 75007,48,20788,0.19612276313257648,0.23542428324033096,0.21748123917644796,0.3509717144506446,0.6735616701943429,0.3264383298056571,0.562055031749086,0.0956272684625071,0.1767857583763364,0.28811634280635046,0.2762647835855905,0.16320584676921557,0.0953338247448011,0.16812973262748776,0.20621412137863254,0.3508454510933905,0.17947687015568808,2024,acs/acs5,20788,4077,4894,4521,7296,20788,14002,6786,20788,11684,40501,3873,7160,11669,11189,6610,44769,4268,7527,9232,15707,8035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,182,215,1294,2168,1853,2664,2270,1613,1920,2096,566,1231,551,711,864,772,612,122,717,324,280,597,1458,2048,2183,2115,2050,2124,2126,909,1072,527,992,1256,792,571,265,20788,14780,11684,40501,1436,19,0,0,71,0,0,91,486,47,145,269,282,268,759,6238,922,2779,5953,2937,11189,5032,811,767,20788,429,482,328,400,571,512,371,287,697,1249,1542,2103,2889,1632,2733,4563,20788,14002,6786
75009,ZCTA5 75009,48,10605,0.14031117397454032,0.11834040546911834,0.1586987270155587,0.5826496935407827,0.9201320132013201,0.07986798679867987,0.8184818481848185,0.03415387410300663,0.10191661367971659,0.23026614588064312,0.4411844854210192,0.1924788809156145,0.08124348007510954,0.17104110160650948,0.2770290006259128,0.28065929480492385,0.19002712288754434,2024,acs/acs5,10605,1488,1255,1683,6179,10605,9758,847,10605,8680,22018,752,2244,5070,9714,4238,23965,1947,4099,6639,6726,4554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,272,182,232,924,1242,1413,1585,743,1258,867,811,143,134,454,1054,319,274,51,581,111,90,249,821,1112,2173,1468,853,1077,784,55,135,320,761,750,220,124,93,10605,9491,8680,22018,38,0,0,0,11,10,0,0,138,0,26,0,190,1,338,1801,443,1046,2310,1714,9714,3937,207,94,10605,18,9,440,89,132,183,241,106,270,177,401,677,734,949,2423,3756,10605,9758,847
75010,ZCTA5 75010,48,13516,0.16602545131695767,0.2840337377922462,0.23409292690145014,0.31584788398934593,0.5167209233501036,0.48327907664989644,0.505696951760876,0.04969990956178574,0.10511386993340459,0.24418317849214832,0.37889500945490423,0.22210803255775713,0.08214164434214995,0.22137116552843075,0.22895521261743954,0.3401124401011206,0.12741953741085915,2024,acs/acs5,13516,2244,3839,3164,4269,13516,6984,6532,13516,6835,24326,1209,2557,5940,9217,5403,26503,2177,5867,6068,9014,3377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,126,119,487,1335,1509,976,1827,930,1117,892,344,595,303,290,415,126,196,125,145,97,225,560,1104,1919,1690,1575,1641,1306,1094,556,539,253,333,550,264,170,352,13516,8869,6835,24326,347,0,0,0,0,0,7,58,73,44,21,76,70,48,465,2255,302,1173,3085,1682,9217,3960,930,513,13516,363,187,119,215,128,322,195,449,266,657,1175,2007,1892,1272,1476,2793,13516,6984,6532
75013,ZCTA5 75013,48,18064,0.14470770593445528,0.18157661647475642,0.1858392382639504,0.4878764393268379,0.6362378210806023,0.3637621789193977,0.6413308237378211,0.03402340763394695,0.08692583661706757,0.21278597894489207,0.36634711521496205,0.29991766158913136,0.0902621722846442,0.165195291599786,0.21257356875334404,0.38713215623327984,0.14483681112894595,2024,acs/acs5,18064,2614,3280,3357,8813,18064,11493,6571,18064,11585,34006,1157,2956,7236,12458,10199,37380,3374,6175,7946,14471,5414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,333,263,714,1516,1524,1414,1954,2162,1740,1974,583,607,559,422,677,289,404,237,511,214,261,427,1792,1343,2551,2027,2351,2363,1479,433,779,460,712,577,361,600,116,18064,13450,11585,34006,425,0,0,0,0,0,0,0,0,10,15,87,12,107,501,2510,446,1392,4112,1732,12458,7620,1341,1238,18064,290,160,193,323,268,331,737,187,125,450,1386,1444,1944,1413,2681,6132,18064,11493,6571
75019,ZCTA5 75019,48,16954,0.11389642562227204,0.2044945145688333,0.20431756517635957,0.4772914946325351,0.6332428925327357,0.36675710746726436,0.6328300106169635,0.02426627315953435,0.09765535333661256,0.18265289391703557,0.38491555992785703,0.31050991965896046,0.0817248336294378,0.14794182299978922,0.203980848565148,0.4047095666837303,0.16164292812189468,2024,acs/acs5,16954,1931,3467,3464,8092,16954,10736,6218,16954,10729,30495,740,2978,5570,11738,9469,33209,2714,4913,6774,13440,5368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,140,95,765,1143,1321,1502,1712,2066,1777,1603,797,922,485,780,606,352,118,161,472,89,91,710,1168,1281,1545,2015,1730,1796,1462,764,523,777,630,630,307,226,296,16954,12437,10729,30495,216,0,0,0,0,14,0,14,115,30,100,8,48,13,182,2349,629,1183,2788,1599,11738,7151,1476,842,16954,301,220,207,101,174,208,222,276,222,433,969,2065,2139,1325,2408,5684,16954,10736,6218
75020,ZCTA5 75020,48,10085,0.3461576598909271,0.35815567674764504,0.15835399107585524,0.13733267228557264,0.5874070401586514,0.4125929598413485,0.4063460585027268,0.10321620011911853,0.31631923764145325,0.3842167957117332,0.12858844550327575,0.0676593210244193,0.10064813326905565,0.12957308907815093,0.1605870694734587,0.3295838020247469,0.2796079061545878,2024,acs/acs5,10085,3491,3612,1597,1385,10085,5924,4161,10085,4098,16790,1733,5311,6451,2159,1136,18669,1879,2419,2998,6153,5220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,76,183,364,567,629,797,598,802,824,478,349,597,181,403,533,414,242,298,314,175,81,382,573,650,810,793,912,650,711,312,518,275,460,731,665,447,571,10085,6563,4098,16790,196,0,0,0,0,17,28,70,171,0,33,312,393,143,370,4315,996,1652,2591,2208,2159,749,153,234,10085,324,449,277,335,547,339,523,289,408,866,1010,1736,1001,596,756,629,10085,5924,4161
