NAME,B11001_001E,B11001_002E,B11001_003E,zip code tabulation area
ZCTA5 00601,5768,3784,2242,00601
ZCTA5 00602,12954,8225,5327,00602
ZCTA5 00603,20131,12710,7068,00603
ZCTA5 00606,1860,1181,650,00606
ZCTA5 00610,9604,6060,3455,00610
ZCTA5 00611,679,472,316,00611
ZCTA5 00612,24426,15331,8237,00612
ZCTA5 00616,3580,2509,1189,00616
ZCTA5 00617,9063,6042,2870,00617
ZCTA5 00622,3256,2042,1269,00622
ZCTA5 00623,15881,10363,6158,00623
ZCTA5 00624,7456,5142,2642,00624
ZCTA5 00627,12431,8833,5770,00627
ZCTA5 00631,450,324,237,00631
ZCTA5 00636,304,226,166,00636
ZCTA5 00637,8236,4946,2687,00637
ZCTA5 00638,6028,4255,2611,00638
ZCTA5 00641,9594,6303,3693,00641
ZCTA5 00646,12838,8467,5342,00646
ZCTA5 00647,1881,1371,695,00647
ZCTA5 00650,5517,3658,2028,00650
ZCTA5 00652,1612,1098,628,00652
ZCTA5 00653,3910,2551,1267,00653
ZCTA5 00656,6461,4474,2234,00656
ZCTA5 00659,13338,9533,6066,00659
ZCTA5 00660,6180,3993,2321,00660
ZCTA5 00662,14285,9360,6057,00662
ZCTA5 00664,5277,3686,2048,00664
ZCTA5 00667,8827,5540,2989,00667
ZCTA5 00669,10657,7466,4143,00669
ZCTA5 00670,3034,1978,1271,00670
ZCTA5 00674,15599,9595,4907,00674
ZCTA5 00676,13585,9714,6130,00676
ZCTA5 00677,5897,3737,2261,00677
ZCTA5 00678,9041,6195,3435,00678
ZCTA5 00680,18130,10736,6038,00680
ZCTA5 00682,12206,6100,3155,00682
ZCTA5 00683,11218,6454,3515,00683
ZCTA5 00685,14790,9748,6440,00685
ZCTA5 00687,10903,7652,4286,00687
ZCTA5 00688,4043,2466,1549,00688
ZCTA5 00690,2222,1625,882,00690
ZCTA5 00692,13136,9116,5030,00692
ZCTA5 00693,22156,14074,7194,00693
ZCTA5 00694,68,29,16,00694
ZCTA5 00698,13070,8230,5222,00698
ZCTA5 00703,9218,6423,3580,00703
ZCTA5 00704,2618,1866,1019,00704
ZCTA5 00705,9698,5880,3005,00705
ZCTA5 00707,4211,2867,1401,00707
ZCTA5 00714,6739,4190,1822,00714
ZCTA5 00715,905,529,295,00715
ZCTA5 00716,12525,7357,3614,00716
ZCTA5 00717,6779,3772,1561,00717
ZCTA5 00718,8590,5569,2701,00718
ZCTA5 00719,9530,6307,2838,00719
ZCTA5 00720,6864,4724,2516,00720
ZCTA5 00723,6473,4317,2461,00723
ZCTA5 00725,30764,19229,10041,00725
ZCTA5 00727,21429,14586,8402,00727
ZCTA5 00728,13940,9093,4612,00728
ZCTA5 00729,17877,12393,7491,00729
ZCTA5 00730,13892,8045,3992,00730
ZCTA5 00731,3717,2414,1435,00731
ZCTA5 00735,4444,3042,1703,00735
ZCTA5 00736,18720,12026,6054,00736
ZCTA5 00738,12573,7843,4234,00738
ZCTA5 00739,13007,9217,5358,00739
ZCTA5 00740,615,465,180,00740
ZCTA5 00741,1476,1022,521,00741
ZCTA5 00745,17400,11726,6561,00745
ZCTA5 00751,8406,5176,2813,00751
ZCTA5 00754,14006,9131,4980,00754
ZCTA5 00757,7516,4754,2532,00757
ZCTA5 00765,3125,1824,881,00765
ZCTA5 00766,7467,5420,2892,00766
ZCTA5 00767,12366,8088,4310,00767
ZCTA5 00769,13645,8616,4750,00769
ZCTA5 00771,13016,8710,4879,00771
ZCTA5 00772,6739,4410,1950,00772
ZCTA5 00773,6966,4543,2420,00773
ZCTA5 00775,524,289,170,00775
ZCTA5 00777,14720,10060,5718,00777
ZCTA5 00778,15836,10973,6826,00778
ZCTA5 00780,4789,3623,2063,00780
ZCTA5 00782,5879,3914,1878,00782
ZCTA5 00783,11438,8267,4503,00783
ZCTA5 00784,15603,9552,4840,00784
ZCTA5 00786,79,47,28,00786
ZCTA5 00791,18577,11737,7227,00791
ZCTA5 00794,9874,6960,3636,00794
ZCTA5 00795,15582,10467,5721,00795
ZCTA5 00901,3111,1415,781,00901
ZCTA5 00906,41,0,0,00906
ZCTA5 00907,8730,3639,2577,00907
ZCTA5 00909,2947,1098,503,00909
ZCTA5 00911,3990,1540,1001,00911
ZCTA5 00912,2872,1352,632,00912
ZCTA5 00913,3329,1627,337,00913
ZCTA5 00915,11125,5870,1950,00915
ZCTA5 00917,8252,3718,1439,00917
ZCTA5 00918,8255,3186,1542,00918
ZCTA5 00920,7184,3519,1642,00920
ZCTA5 00921,14422,7712,3103,00921
ZCTA5 00923,11026,5662,1976,00923
ZCTA5 00924,21364,12098,5090,00924
ZCTA5 00925,2608,639,141,00925
ZCTA5 00926,39310,22988,13362,00926
ZCTA5 00927,6569,3283,1694,00927
ZCTA5 00934,12,12,12,00934
ZCTA5 00949,26989,17250,8756,00949
ZCTA5 00950,0,0,0,00950
ZCTA5 00951,193,81,14,00951
ZCTA5 00952,3417,2012,816,00952
ZCTA5 00953,24005,17622,10101,00953
ZCTA5 00956,26979,17560,9788,00956
ZCTA5 00957,16545,10850,5258,00957
ZCTA5 00959,19761,11810,6149,00959
ZCTA5 00960,0,0,0,00960
ZCTA5 00961,11855,7545,4201,00961
ZCTA5 00962,7975,5206,2276,00962
ZCTA5 00965,2138,1090,518,00965
ZCTA5 00966,7582,4639,3264,00966
ZCTA5 00968,2005,851,608,00968
ZCTA5 00969,17031,11139,7181,00969
ZCTA5 00971,10071,6214,3652,00971
ZCTA5 00976,24648,16376,9970,00976
ZCTA5 00979,8002,3606,2315,00979
ZCTA5 00982,6150,3759,1311,00982
ZCTA5 00983,13587,8455,4458,00983
ZCTA5 00985,12877,7971,3788,00985
ZCTA5 00987,22170,15475,8112,00987
ZCTA5 01001,6920,3882,3015,01001
ZCTA5 01002,10320,4521,3682,01002
ZCTA5 01003,44,29,29,01003
ZCTA5 01005,1863,1396,1029,01005
ZCTA5 01007,6140,4340,3498,01007
ZCTA5 01008,579,372,319,01008
ZCTA5 01009,364,208,173,01009
ZCTA5 01010,1410,1047,854,01010
ZCTA5 01011,461,294,258,01011
ZCTA5 01012,146,120,68,01012
ZCTA5 01013,9734,5250,2663,01013
ZCTA5 01020,13767,8038,4784,01020
ZCTA5 01022,923,329,167,01022
ZCTA5 01026,461,290,249,01026
ZCTA5 01027,8284,4454,3290,01027
ZCTA5 01028,5923,4077,3209,01028
ZCTA5 01029,247,191,172,01029
ZCTA5 01030,5059,3616,2896,01030
ZCTA5 01031,664,436,286,01031
ZCTA5 01032,240,156,127,01032
ZCTA5 01033,2321,1923,1675,01033
ZCTA5 01034,971,701,564,01034
ZCTA5 01035,2282,1285,1016,01035
ZCTA5 01036,1945,1457,1334,01036
ZCTA5 01037,290,199,157,01037
ZCTA5 01038,1079,717,600,01038
ZCTA5 01039,648,428,308,01039
