"department_name";"department_type_id";"manager_employee_id";"manager_start_date";"facility_id";"department_id";"created_at";"updated_at"
"HOMDPO001_Delivery";2;1;"2026-05-24 00:01:52";1;1;"2026-05-23 23:56:14";"2026-06-07 23:04:59"
"HOMDPO001_Logistics";3;1;"2026-05-24 00:01:52";1;2;"2026-05-23 23:56:14";"2026-06-07 23:04:59"
"HAHOSHPO002_Retail Services";1;4;"2026-05-26 12:56:05";2;3;"2026-05-26 12:33:15";"2026-06-07 23:10:37"
"HAHOSHPO002_Delivery";2;5;"2026-05-26 12:56:05";2;4;"2026-05-26 12:33:15";"2026-06-07 23:04:59"
"HAHOSHPO002_Logistics";3;3;"2026-05-26 12:56:05";2;5;"2026-05-26 12:33:15";"2026-06-07 23:04:59"
"HAHOTWHPO008_Retail Services";1;53;"2026-05-26 09:00:00";4;6;"2026-05-26 22:34:26";"2026-06-07 23:10:37"
"HAHOTWHPO008_Delivery";2;54;"2026-05-26 09:00:00";4;7;"2026-05-26 22:34:26";"2026-06-07 23:04:59"
"HAHOTWHPO008_Logistics";3;55;"2026-05-26 09:00:00";4;8;"2026-05-26 22:34:26";"2026-06-07 23:10:37"
"HAHOUNHTDC998_Administrative";6;56;"2026-05-26 09:00:00";5;9;"2026-05-26 22:34:26";"2026-06-07 23:04:59"
"HAHOUNHTDC998_Logistics";3;57;"2026-05-26 09:00:00";5;10;"2026-05-26 22:34:26";"2026-06-07 23:10:37"
"HAHOUNHTDC998_Operations";4;58;"2026-05-26 09:00:00";5;11;"2026-05-26 22:34:26";"2026-06-07 23:10:37"
"FOMISHLPC904_Delivery";2;59;"2026-05-26 09:00:00";6;12;"2026-05-26 22:34:26";"2026-06-07 23:04:59"
"FOMISHLPC904_Logistics";3;60;"2026-05-26 09:00:00";6;13;"2026-05-26 22:34:26";"2026-06-07 23:10:37"
"FOMISHLPC904_Operations";4;61;"2026-05-26 09:00:00";6;14;"2026-05-26 22:34:26";"2026-06-07 23:10:37"
"HAHOEPO023_Retail Services";1;195;"2026-05-26 09:00:00";3;21;"2026-05-26 22:35:13";"2026-06-07 23:10:37"
"HAHOEPO023_Delivery";2;196;"2026-05-26 09:00:00";3;22;"2026-05-26 22:35:13";"2026-06-07 23:04:59"
"HAHOEPO023_Logistics";3;197;"2026-05-26 09:00:00";3;23;"2026-05-26 22:35:13";"2026-06-07 23:10:37"
"HAHORRPO998_Logistics";3;229;"2026-05-26 09:00:00";7;24;"2026-05-26 23:17:30";"2026-06-07 23:10:37"
"HAHORRPO998_Delivery";2;230;"2026-05-26 09:00:00";7;25;"2026-05-26 23:17:30";"2026-06-07 23:04:59"
"HAHORRPO998_Retail Services";1;231;"2026-05-26 09:00:00";7;26;"2026-05-26 23:17:30";"2026-06-07 23:10:37"
"HAHOAPO998_Logistics";3;232;"2026-05-26 09:00:00";8;27;"2026-05-26 23:17:30";"2026-06-07 23:10:37"
"HAHOAPO998_Delivery";2;233;"2026-05-26 09:00:00";8;28;"2026-05-26 23:17:30";"2026-06-07 23:04:59"
"HAHOAPO998_Retail Services";1;234;"2026-05-26 09:00:00";8;29;"2026-05-26 23:17:30";"2026-06-07 23:10:37"
"TABECS021_Administrative";6;0;"";56;30;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"DADARS243_Administrative";6;0;"";156;31;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TAFODS102_Administrative";6;0;"";198;32;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"COPLNDNEC075_Administrative";6;0;"";410;33;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"FOMISHLPC904_Administrative";6;0;"";6;34;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"UVUVMO801_Administrative";6;0;"";511;35;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"JEBEBTL707_Administrative";6;0;"";54;36;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"BRBRS801_Administrative";6;0;"";75;37;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"LULUMOPD402_Administrative";6;0;"";355;38;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"HIMCAV501_Administrative";6;0;"";367;39;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TAABSHS605_Delivery";2;0;"";9;40;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TAABMO601_Delivery";2;0;"";10;41;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"DAADMO001_Delivery";2;0;"";12;42;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"HIALMO516_Delivery";2;0;"";13;43;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"JIALMO332_Delivery";2;0;"";14;44;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"COALMO013_Delivery";2;0;"";15;45;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"BRALMO511_Delivery";2;0;"";16;46;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"POAMLSS109_Delivery";2;0;"";17;47;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"POAMJS124_Delivery";2;0;"";18;48;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"ANANMO714_Delivery";2;0;"";19;49;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"BRANMO515_Delivery";2;0;"";20;50;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"HAHOS009_Delivery";2;0;"";21;51;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"JOANMO501_Delivery";2;0;"";22;52;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TAAROS012_Delivery";2;0;"";23;53;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TAARBRS018_Delivery";2;0;"";24;54;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TAARWS006_Delivery";2;0;"";25;55;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TAARMS015_Delivery";2;0;"";26;56;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TAARTSFS017_Delivery";2;0;"";28;57;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"MAARMMB820_Delivery";2;0;"";29;58;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"HEATMO751_Delivery";2;0;"";30;59;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"CAATMO551_Delivery";2;0;"";31;60;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"DEAUMO227_Delivery";2;0;"";32;61;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"WIAUMS729_Delivery";2;0;"";33;62;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TRAUBS759_Delivery";2;0;"";34;63;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TRAUBS758_Delivery";2;0;"";35;64;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TRLALTB734_Delivery";2;0;"";36;65;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TRAUCPS705_Delivery";2;0;"";37;66;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TRAUCCS731_Delivery";2;0;"";38;67;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TRAUSCS704_Delivery";2;0;"";39;68;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TRAUSS744_Delivery";2;0;"";40;69;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TRAUOHS749_Delivery";2;0;"";41;70;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TRAUMS745_Delivery";2;0;"";42;71;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TRAUNS757_Delivery";2;0;"";43;72;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TAAZMO020_Delivery";2;0;"";45;73;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"FABAMMB413_Delivery";2;0;"";46;74;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"RUBAMO821_Delivery";2;0;"";47;75;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"WABAMMB719_Delivery";2;0;"";48;76;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"MABAMO414_Delivery";2;0;"";49;77;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"HABASA520_Delivery";2;0;"";50;78;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"HABAMO521_Delivery";2;0;"";51;79;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"JEBESES705_Delivery";2;0;"";52;80;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"JEBETHS706_Delivery";2;0;"";53;81;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TABEMO021_Delivery";2;0;"";55;82;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"BEBEMO102_Delivery";2;0;"";57;83;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"HABEMO401_Delivery";2;0;"";58;84;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"BEBEMO513_Delivery";2;0;"";59;85;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"HOBIMO720_Delivery";2;0;"";60;86;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"COBLMMB314_Delivery";2;0;"";61;87;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"KEBOCA006_Delivery";2;0;"";62;88;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"KEBOMO006_Delivery";2;0;"";63;89;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"FABOMO418_Delivery";2;0;"";64;90;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"HUBOMO007_Delivery";2;0;"";65;91;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"MOBOMO230_Delivery";2;0;"";66;92;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"MCBRMO825_Delivery";2;0;"";67;93;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"BRBRMO422_Delivery";2;0;"";68;94;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"STBRMO424_Delivery";2;0;"";69;95;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"ROBRMO629_Delivery";2;0;"";70;96;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"ORBRMO611_Delivery";2;0;"";71;97;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"CABRMO520_Delivery";2;0;"";72;98;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"BRBRMO801_Delivery";2;0;"";73;99;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"BRBRDS803_Delivery";2;0;"";74;100;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"HABUM610_Delivery";2;0;"";76;101;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"LEBUMO831_Delivery";2;0;"";77;102;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"WIBUMO354_Delivery";2;0;"";78;103;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"JOBUMO028_Delivery";2;0;"";79;104;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"BUCAMO836_Delivery";2;0;"";80;105;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"POCAMOB934_Delivery";2;0;"";81;106;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"MICAMO520_Delivery";2;0;"";82;107;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"RACAMO015_Delivery";2;0;"";83;108;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"HACAMMB436_Delivery";2;0;"";84;109;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"DICAMO834_Delivery";2;0;"";85;110;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"DACAMO006_Delivery";2;0;"";86;111;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"DACARS007_Delivery";2;0;"";87;112;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"PACAMO633_Delivery";2;0;"";88;113;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"DICAMMB836_Delivery";2;0;"";89;114;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"DACEMO104_Delivery";2;0;"";90;115;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"WICEMO613_Delivery";2;0;"";91;116;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"HACHMO530_Delivery";2;0;"";92;117;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"NUCHMO347_Delivery";2;0;"";93;118;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"CHCHMO201_Delivery";2;0;"";94;119;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"FACHMMB632_Delivery";2;0;"";95;120;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"GUCIMO108_Delivery";2;0;"";96;121;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"EACIMO437_Delivery";2;0;"";97;122;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"RECLMO426_Delivery";2;0;"";98;123;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"JOCLMO033_Delivery";2;0;"";99;124;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"LICLMO327_Delivery";2;0;"";100;125;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"BOCLMO634_Delivery";2;0;"";101;126;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"BRCLMO531_Delivery";2;0;"";102;127;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"COCOMO834_Delivery";2;0;"";103;128;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"BRCOMO840_Delivery";2;0;"";104;129;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TACOMO034_Delivery";2;0;"";105;130;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"MICOMO512_Delivery";2;0;"";106;131;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"VACOMMB837_Delivery";2;0;"";107;132;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"DUCOMMB349_Delivery";2;0;"";108;133;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"MOCOMO301_Delivery";2;0;"";109;134;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"BECOMO109_Delivery";2;0;"";110;135;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"DECOMO432_Delivery";2;0;"";111;136;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"DACOMO019_Delivery";2;0;"";112;137;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"COCOMO522_Delivery";2;0;"";113;138;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"NUCOFBS418_Delivery";2;0;"";114;139;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"NUCOPS415_Delivery";2;0;"";115;140;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"NUCOLPS411_Delivery";2;0;"";116;141;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"NUCOSS413_Delivery";2;0;"";117;142;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"NUCOSPS404_Delivery";2;0;"";118;143;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"NACOMO110_Delivery";2;0;"";119;144;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"HACOMMB021_Delivery";2;0;"";120;145;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"CRCRMO731_Delivery";2;0;"";121;146;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"HOCRMO835_Delivery";2;0;"";122;147;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"HACRMO532_Delivery";2;0;"";123;148;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"TACRMO036_Delivery";2;0;"";124;149;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"DECUMO954_Delivery";2;0;"";125;150;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"CHCUMMB759_Delivery";2;0;"";126;151;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"LACUMMB434_Delivery";2;0;"";127;152;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"HACYMO429_Delivery";2;0;"";128;153;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"MODAMO638_Delivery";2;0;"";129;154;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"DADARPS230_Delivery";2;0;"";130;155;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"DADALHS238_Delivery";2;0;"";131;156;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"DADAWRS218_Delivery";2;0;"";132;157;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
"DADASVS240_Delivery";2;0;"";133;158;"2026-06-07 22:57:35";"2026-06-07 22:57:35"
