Owned Facility Inventory Report,,,,,,,,,,,,
,,,,,,,,,,,,
Report Filter:,,,,,,,,,,,,
(Ownership = Owned) And ({Property Status} = Active) And (ST = TX) And ({Building Ownership Description} <> Building Data on another record,,,,,,,,,,,,
,,,,,,,,,,,,
District,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Ownership,FDB Facility Type (All),FDB Facility Subtype (All),Bldg Occu Date,Int Sq Ft
TEXAS 3,ABILENE,AUXILIARY VMF,810 N 4TH ST,TAYLOR,ABILENE,TX,79601-5924,Owned,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),3/1/1987,"4,370"
TEXAS 3,ABILENE,MAIN OFFICE,341 PINE ST,TAYLOR,ABILENE,TX,79601-9998,Owned,Post Office,Main Post Office,3/1/1936,"122,503"
TEXAS 3,ABILENE,MAIN OFFICE,341 PINE ST,TAYLOR,ABILENE,TX,79601-9998,Owned,Post Office,Station,3/1/1936,"122,503"
TEXAS 3,ABILENE,SOUTHERN HILLS STA,2501 BUFFALO GAP RD,TAYLOR,ABILENE,TX,79605-6185,Owned,Post Office,Station,12/1/1984,"17,130"
TEXAS 1,ADDISON,MAIN OFFICE,4900 AIRPORT PKWY,DALLAS,ADDISON,TX,75001-9998,Owned,Post Office,Main Post Office,8/1/1998,"18,564"
TEXAS 2,ALAMO,MAIN OFFICE,423 LOS ALAMOS DR,HIDALGO,ALAMO,TX,78516-9998,Owned,Post Office,Main Post Office,,"5,049"
TEXAS 2,ALICE,MAIN OFFICE,401 E 2ND ST,JIM WELLS,ALICE,TX,78332-9998,Owned,Post Office,Administrative Post Office (APO),6/1/1966,"24,262"
TEXAS 1,ALLEN,MAIN OFFICE,401 CENTURY PKWY,COLLIN,ALLEN,TX,75013-8043,Owned,Post Office,Main Post Office,10/31/2020,"24,382"
TEXAS 2,ALVIN,MAIN OFFICE,455 E HOUSE ST,BRAZORIA,ALVIN,TX,77511-9998,Owned,Post Office,Main Post Office,9/1/1986,"17,058"
TEXAS 3,AMARILLO,DOWNTOWN STATION,505 E 9TH AVE,POTTER,AMARILLO,TX,79105-9998,Owned,Post Office,Finance Station,2/1/1978,"8,624"
TEXAS 3,AMARILLO,JORDAN STATION,8301 W AMARILLO BLVD,POTTER,AMARILLO,TX,79124-2153,Owned,Post Office,Station,5/1/2001,"26,220"
TEXAS 3,AMARILLO,LONE STAR STATION,5000 S WESTERN ST,POTTER,AMARILLO,TX,79109-6192,Owned,Post Office,Station,9/1/1999,"35,348"
TEXAS 3,AMARILLO,PDC,2301 ROSS ST,POTTER,AMARILLO,TX,79120-9998,Owned,Post Office,Main Post Office,3/1/1977,"220,270"
TEXAS 3,AMARILLO,PDC,2301 ROSS ST,POTTER,AMARILLO,TX,79120-9998,Owned,Mail Processing,Processing and Distribution Center/Facility (PDC/PDF),3/1/1977,"220,270"
TEXAS 3,AMARILLO,PDC,2301 ROSS ST,POTTER,AMARILLO,TX,79120-9998,Owned,Network Facilities,Logistics (LOG),3/1/1977,"220,270"
TEXAS 3,AMARILLO,VMF,2301 ROSS ST,POTTER,AMARILLO,TX,79120-9341,Owned,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),3/1/1977,"12,880"
TEXAS 3,ANDREWS,MAIN OFFICE,110 NW AVENUE H,ANDREWS,ANDREWS,TX,79714-9997,Owned,Post Office,Administrative Post Office (APO),5/1/1984,"8,237"
TEXAS 2,ANGLETON,MAIN OFFICE,100 CANNAN DR,BRAZORIA,ANGLETON,TX,77515-9998,Owned,Post Office,Main Post Office,7/1/1989,"19,853"
TEXAS 3,ANSON,MAIN OFFICE,1002 11TH ST,JONES,ANSON,TX,79501-9998,Owned,Post Office,Main Post Office,6/1/1939,"6,589"
TEXAS 2,ANSON JONES,STATION,634 W CAVALCADE ST,HARRIS,HOUSTON,TX,77009-9998,Owned,Post Office,Station,11/1/1969,"7,339"
TEXAS 1,ARLINGTON,BARDIN ROAD STATION,1301 E BARDIN RD,TARRANT,ARLINGTON,TX,76018-2130,Owned,Post Office,Station,9/1/1990,"29,747"
TEXAS 1,ARLINGTON,MELEAR STATION,3903 MELEAR DR,TARRANT,ARLINGTON,TX,76015-9998,Owned,Post Office,Station,12/1/1978,"28,666"
TEXAS 1,ARLINGTON,MELEAR STORAGE,3903 MELEAR DR,TARRANT,ARLINGTON,TX,76015-9998,Owned,,,2/1/1988,"2,500"
TEXAS 1,ARLINGTON,MELEAR VMF,3920 S COOPER ST,TARRANT,ARLINGTON,TX,76015-9341,Owned,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),12/1/1978,"4,759"
TEXAS 1,ARLINGTON,OAKWOOD STATION,1009 OAKWOOD LN,TARRANT,ARLINGTON,TX,76012-4475,Owned,Post Office,Station,11/1/1992,"30,275"
TEXAS 1,ARLINGTON,TATE SPRINGS FIN STA,4108 SW GREEN OAKS BLVD,TARRANT,ARLINGTON,TX,76017-4198,Owned,Post Office,Finance Station,9/1/1987,"11,435"
TEXAS 1,ARLINGTON,WATSON STATION,1975 BALLPARK WAY,TARRANT,ARLINGTON,TX,76006-6635,Owned,Post Office,Station,7/1/1987,"27,089"
TEXAS 3,ART,MPO/MODULAR BUILDING,7866 E STATE HIGHWAY 29,MASON,ART,TX,76820-9817,Owned,Post Office,Remotely Managed Post Office (RMPO),4/1/1999,736
TEXAS 1,ATHENS,MAIN OFFICE,409 E TYLER ST,HENDERSON,ATHENS,TX,75751-9998,Owned,Post Office,Main Post Office,11/1/1969,"13,053"
TEXAS 1,ATLANTA,MAIN OFFICE,101 E MILLER ST,CASS,ATLANTA,TX,75551-9998,Owned,Post Office,Administrative Post Office (APO),5/1/1986,"8,143"
TEXAS 1,AUBREY,MAIN OFFICE,120 STANLEY DR,DENTON,AUBREY,TX,76227-9997,Owned,Post Office,Main Post Office,,0
TEXAS 3,AUSTIN,BALCONES STATION,11900 JOLLYVILLE RD,TRAVIS,AUSTIN,TX,78759-9998,Owned,Post Office,Station,12/1/1984,"26,017"
TEXAS 3,AUSTIN,BLUEBONNET STATION,1822 W BRAKER LN,TRAVIS,AUSTIN,TX,78758-9998,Owned,Post Office,Station,9/1/1991,"27,083"
TEXAS 3,AUSTIN,CENTRAL PARK STATION,3507 N LAMAR BLVD,TRAVIS,AUSTIN,TX,78705-9997,Owned,Post Office,Station,10/1/1999,"18,900"
TEXAS 3,AUSTIN,CHIMNEY CORNERS STATION,3575 FAR WEST BLVD,TRAVIS,AUSTIN,TX,78731-9998,Owned,Post Office,Station,12/1/1997,"27,815"
TEXAS 3,AUSTIN,LAKE TRAVIS BRANCH,2110 RANCH ROAD 620 S,TRAVIS,LAKEWAY,TX,78734-9998,Owned,Post Office,Station,5/1/1999,"21,487"
TEXAS 3,AUSTIN,McNeil Station,10109 LAKE CREEK PKWY,WILLIAMSON,AUSTIN,TX,78729-1711,Owned,Post Office,Station,12/21/2009,"10,087"
TEXAS 3,AUSTIN,MOCKINGBIRD STATION,7310 MENCHACA RD,TRAVIS,AUSTIN,TX,78745-9998,Owned,Post Office,Station,7/1/1991,"26,104"
TEXAS 3,AUSTIN,NORTHCROSS STATION,7700 NORTHCROSS DR,TRAVIS,AUSTIN,TX,78757-9998,Owned,Post Office,Station,11/1/1998,"24,722"
TEXAS 3,AUSTIN,NORTHEAST STATION,900 BLACKSON AVE,TRAVIS,AUSTIN,TX,78752-9998,Owned,Post Office,Station,10/1/1974,"14,875"
TEXAS 3,AUSTIN,NORTHEAST VMF,900 BLACKSON AVE,TRAVIS,AUSTIN,TX,78752-9998,Owned,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),10/1/1974,0
TEXAS 3,AUSTIN,OAK HILL STATION,6104 OLD FREDERICKSBURG RD,TRAVIS,AUSTIN,TX,78749-9998,Owned,Post Office,Station,7/1/1988,"18,299"
TEXAS 3,AUSTIN,P&DC,8225 CROSS PARK DR,TRAVIS,AUSTIN,TX,78710-9716,Owned,Post Office,Main Post Office,5/1/1988,"338,562"
TEXAS 3,AUSTIN,P&DC,8225 CROSS PARK DR,TRAVIS,AUSTIN,TX,78710-9716,Owned,Post Office,Finance Station,5/1/1988,"338,562"
TEXAS 3,AUSTIN,P&DC,8225 CROSS PARK DR,TRAVIS,AUSTIN,TX,78710-9716,Owned,Mail Processing,Processing and Distribution Center/Facility (PDC/PDF),5/1/1988,"338,562"
TEXAS 3,AUSTIN,P&DC,8225 CROSS PARK DR,TRAVIS,AUSTIN,TX,78710-9716,Owned,Administrative Office,Office of the Inspector General Office (OIG),5/1/1988,"338,562"
TEXAS 3,AUSTIN,P&DC,8225 CROSS PARK DR,TRAVIS,AUSTIN,TX,78710-9716,Owned,Network Facilities,Logistics (LOG),5/1/1988,"338,562"
TEXAS 3,AUSTIN,S CONGRESS STATION,3903 S CONGRESS AVE,TRAVIS,AUSTIN,TX,78704-9998,Owned,Post Office,Station,2/1/2000,"24,335"
TEXAS 3,AUSTIN,SOUTHEAST STATION,4516 BURLESON RD,TRAVIS,AUSTIN,TX,78744-9998,Owned,Post Office,Station,11/1/1976,"19,804"
TEXAS 1,AZLE,MAIN OFFICE,409 COMMERCE ST,TARRANT,AZLE,TX,76020-9998,Owned,Post Office,Main Post Office,11/1/1989,"16,793"
TEXAS 1,BAILEY,MO/MODULAR BLDG,107 N MAIN ST,FANNIN,BAILEY,TX,75413-9998,Owned,Post Office,Remotely Managed Post Office (RMPO),5/1/1997,728
