facility_name,facility_type_id,facility_type_name,county,street_address,city,state_code,zip_code,interior_sq_ft,territory_id
ABILENE - SOUTHERN HILLS STA,1,Post Office,TAYLOR,2501 BUFFALO GAP RD,ABILENE,TX,79605,17130,
ABILENE - MAIN OFFICE,1,Post Office,TAYLOR,341 PINE ST,ABILENE,TX,79601,122503,
ABILENE - AUXILIARY VMF,2,Vehicle Maintenance,TAYLOR,810 N 4TH ST,ABILENE,TX,79601,4370,
ADDISON - MAIN OFFICE,1,Post Office,DALLAS,4900 AIRPORT PKWY,ADDISON,TX,75001,18564,
ALAMO - MAIN OFFICE,1,Post Office,HIDALGO,423 LOS ALAMOS DR,ALAMO,TX,78516,5049,
ALICE - MAIN OFFICE,1,Post Office,JIM WELLS,401 E 2ND ST,ALICE,TX,78332,24262,
ALLEN - MAIN OFFICE,1,Post Office,COLLIN,401 CENTURY PKWY,ALLEN,TX,75013,24382,
ALVIN - MAIN OFFICE,1,Post Office,BRAZORIA,455 E HOUSE ST,ALVIN,TX,77511,17058,
AMARILLO - LONE STAR STATION,1,Post Office,POTTER,5000 S WESTERN ST,AMARILLO,TX,79109,35348,
AMARILLO - JORDAN STATION,1,Post Office,POTTER,8301 W AMARILLO BLVD,AMARILLO,TX,79124,26220,
ANDREWS - MAIN OFFICE,1,Post Office,ANDREWS,110 NW AVENUE H,ANDREWS,TX,79714,8237,
ANGLETON - MAIN OFFICE,1,Post Office,BRAZORIA,100 CANNAN DR,ANGLETON,TX,77515,19853,
ANSON JONES - STATION,1,Post Office,HARRIS,634 W CAVALCADE ST,HOUSTON,TX,77009,7339,
ANSON - MAIN OFFICE,1,Post Office,JONES,1002 11TH ST,ANSON,TX,79501,6589,
ARLINGTON - OAKWOOD STATION,1,Post Office,TARRANT,1009 OAKWOOD LN,ARLINGTON,TX,76012,30275,
ARLINGTON - BARDIN ROAD STATION,1,Post Office,TARRANT,1301 E BARDIN RD,ARLINGTON,TX,76018,29747,
ARLINGTON - WATSON STATION,1,Post Office,TARRANT,1975 BALLPARK WAY,ARLINGTON,TX,76006,27089,
ARLINGTON - MELEAR STATION; MELEAR STORAGE,1,Post Office,TARRANT,3903 MELEAR DR,ARLINGTON,TX,76015,28666,
ARLINGTON - MELEAR VMF,2,Vehicle Maintenance,TARRANT,3920 S COOPER ST,ARLINGTON,TX,76015,4759,
ARLINGTON - TATE SPRINGS FIN STA,1,Post Office,TARRANT,4108 SW GREEN OAKS BLVD,ARLINGTON,TX,76017,11435,
ART - MPO/MODULAR BUILDING,1,Post Office,MASON,7866 E STATE HIGHWAY 29,ART,TX,76820,736,
ATHENS - MAIN OFFICE,1,Post Office,HENDERSON,409 E TYLER ST,ATHENS,TX,75751,13053,
ATLANTA - MAIN OFFICE,1,Post Office,CASS,101 E MILLER ST,ATLANTA,TX,75551,8143,
AUBREY - MAIN OFFICE,1,Post Office,DENTON,120 STANLEY DR,AUBREY,TX,76227,0,
AUSTIN - McNeil Station,1,Post Office,WILLIAMSON,10109 LAKE CREEK PKWY,AUSTIN,TX,78729,10087,
AUSTIN - BALCONES STATION,1,Post Office,TRAVIS,11900 JOLLYVILLE RD,AUSTIN,TX,78759,26017,
