zip,latitude,longitude,city,state,primary_county_geoid,primary_county_name,centroid_source
77001,29.762100,-95.365215,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77002,29.756350,-95.365380,HOUSTON,TX,48201,Harris,uszips
77003,29.749610,-95.345210,HOUSTON,TX,48201,Harris,uszips
77004,29.724770,-95.364980,HOUSTON,TX,48201,Harris,uszips
77005,29.718240,-95.424130,HOUSTON,TX,48201,Harris,uszips
77006,29.740860,-95.391260,HOUSTON,TX,48201,Harris,uszips
77007,29.771520,-95.409190,HOUSTON,TX,48201,Harris,uszips
77008,29.798560,-95.417660,HOUSTON,TX,48201,Harris,uszips
77009,29.794990,-95.367580,HOUSTON,TX,48201,Harris,uszips
77010,29.753680,-95.359870,HOUSTON,TX,48201,Harris,uszips
77011,29.743000,-95.307850,HOUSTON,TX,48201,Harris,uszips
77012,29.719040,-95.274490,HOUSTON,TX,48201,Harris,uszips
77013,29.795160,-95.238950,HOUSTON,TX,48201,Harris,uszips
77014,29.980250,-95.463630,HOUSTON,TX,48201,Harris,uszips
77015,29.764850,-95.172160,HOUSTON,TX,48201,Harris,uszips
77016,29.861470,-95.299510,HOUSTON,TX,48201,Harris,uszips
77017,29.691530,-95.250930,HOUSTON,TX,48201,Harris,uszips
77018,29.827030,-95.425710,HOUSTON,TX,48201,Harris,uszips
77019,29.753180,-95.412120,HOUSTON,TX,48201,Harris,uszips
77020,29.768420,-95.308780,HOUSTON,TX,48201,Harris,uszips
77021,29.697130,-95.357510,HOUSTON,TX,48201,Harris,uszips
77022,29.830600,-95.376800,HOUSTON,TX,48201,Harris,uszips
77023,29.721600,-95.318270,HOUSTON,TX,48201,Harris,uszips
77024,29.770730,-95.508690,HOUSTON,TX,48201,Harris,uszips
77025,29.685840,-95.435120,HOUSTON,TX,48201,Harris,uszips
77026,29.800130,-95.329340,HOUSTON,TX,48201,Harris,uszips
77027,29.739190,-95.446090,HOUSTON,TX,48201,Harris,uszips
77028,29.824710,-95.286680,HOUSTON,TX,48201,Harris,uszips
77029,29.763820,-95.263260,HOUSTON,TX,48201,Harris,uszips
77030,29.705970,-95.402530,HOUSTON,TX,48201,Harris,uszips
77031,29.654340,-95.546220,HOUSTON,TX,48201,Harris,uszips
77032,29.965230,-95.340040,HOUSTON,TX,48201,Harris,uszips
77033,29.668010,-95.338010,HOUSTON,TX,48201,Harris,uszips
77034,29.615220,-95.192370,HOUSTON,TX,48201,Harris,uszips
77035,29.652690,-95.476880,HOUSTON,TX,48201,Harris,uszips
77036,29.701190,-95.536590,HOUSTON,TX,48201,Harris,uszips
77037,29.891800,-95.394380,HOUSTON,TX,48201,Harris,uszips
77038,29.919060,-95.441210,HOUSTON,TX,48201,Harris,uszips
77039,29.909230,-95.341370,HOUSTON,TX,48201,Harris,uszips
77040,29.875390,-95.528610,HOUSTON,TX,48201,Harris,uszips
77041,29.862030,-95.581870,HOUSTON,TX,48201,Harris,uszips
77042,29.741250,-95.560150,HOUSTON,TX,48201,Harris,uszips
77043,29.811200,-95.579810,HOUSTON,TX,48201,Harris,uszips
77044,29.898080,-95.176850,HOUSTON,TX,48201,Harris,uszips
77045,29.636340,-95.432790,HOUSTON,TX,48201,Harris,uszips
77046,29.734380,-95.433010,HOUSTON,TX,48201,Harris,uszips
77047,29.608430,-95.386620,HOUSTON,TX,48201,Harris,uszips
77048,29.621540,-95.329860,HOUSTON,TX,48201,Harris,uszips
77049,29.834170,-95.148270,HOUSTON,TX,48201,Harris,uszips
77050,29.902860,-95.270130,HOUSTON,TX,48201,Harris,uszips
77051,29.655860,-95.380230,HOUSTON,TX,48201,Harris,uszips
77052,29.755004,-95.362166,HOUSTON,TX,48201,Harris,hud_zip_tract_weighted
77053,29.585490,-95.459910,HOUSTON,TX,48157,Fort Bend,uszips
77054,29.681020,-95.404240,HOUSTON,TX,48201,Harris,uszips
77055,29.797570,-95.492800,HOUSTON,TX,48201,Harris,uszips
77056,29.748490,-95.468060,HOUSTON,TX,48201,Harris,uszips
77057,29.745220,-95.488850,HOUSTON,TX,48201,Harris,uszips
77058,29.562970,-95.093030,HOUSTON,TX,48201,Harris,uszips
77059,29.609290,-95.124170,HOUSTON,TX,48201,Harris,uszips
77060,29.935670,-95.396970,HOUSTON,TX,48201,Harris,uszips
77061,29.654360,-95.284810,HOUSTON,TX,48201,Harris,uszips
77062,29.575840,-95.134060,HOUSTON,TX,48201,Harris,uszips
77063,29.735600,-95.521570,HOUSTON,TX,48201,Harris,uszips
77064,29.922790,-95.546700,HOUSTON,TX,48201,Harris,uszips
77065,29.926730,-95.603240,HOUSTON,TX,48201,Harris,uszips
77066,29.957140,-95.502770,HOUSTON,TX,48201,Harris,uszips
77067,29.952830,-95.447190,HOUSTON,TX,48201,Harris,uszips
